2025-10-31 09:16:38 - SyncDeskManager - INFO - ==================================================
2025-10-31 09:16:38 - SyncDeskManager - INFO - 🚀 INICIANDO SYNC DESK MANAGER
2025-10-31 09:16:38 - SyncDeskManager - INFO - ==================================================
2025-10-31 09:16:39 - SyncDeskManager - INFO - Sistema operativo: Windows 11
2025-10-31 09:16:39 - SyncDeskManager - INFO - Python: 3.12.4
2025-10-31 09:16:39 - SyncDeskManager - INFO - Usuario: usuario
2025-10-31 09:16:39 - SyncDeskManager - INFO - Directorio de trabajo: C:\xampp\htdocs\TDI_Task_Manager
2025-10-31 09:16:39 - SyncDeskManager - INFO - Directorio de logs: c:\xampp\htdocs\TDI_Task_Manager\src\logs
2025-10-31 09:16:39 - SyncDeskManager - INFO - ==================================================
2025-10-31 09:16:43 - SyncDeskManager - INFO - ConfigManager inicializado - Modo volátil en memoria
2025-10-31 09:16:43 - SyncDeskManager - INFO - Iniciando aplicación
2025-10-31 09:16:43 - SyncDeskManager - INFO - Módulos cargados correctamente
2025-10-31 09:16:43 - SyncDeskManager - INFO - ConfigManager inicializado - Modo volátil en memoria
2025-10-31 09:16:43 - SyncDeskManager - INFO - FreshdeskService inicializado
2025-10-31 09:16:43 - SyncDeskManager - INFO - Configuración de clasificación cargada desde: data/classification/classification_config.json
2025-10-31 09:16:43 - SyncDeskManager - INFO - ClassificationConfigManager inicializado
2025-10-31 09:16:43 - SyncDeskManager - INFO - ClassificationLibraryGenerator inicializado
2025-10-31 09:18:26 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:27 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31896 HTTP/1.1" 200 None
2025-10-31 09:18:27 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:28 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31897 HTTP/1.1" 200 None
2025-10-31 09:18:28 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:29 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31898 HTTP/1.1" 200 None
2025-10-31 09:18:29 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:30 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31899 HTTP/1.1" 200 None
2025-10-31 09:18:30 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:31 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31900 HTTP/1.1" 200 None
2025-10-31 09:18:31 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:32 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31901 HTTP/1.1" 200 None
2025-10-31 09:18:32 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:33 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31902 HTTP/1.1" 200 None
2025-10-31 09:18:33 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:34 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31903 HTTP/1.1" 200 None
2025-10-31 09:18:34 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:34 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31904 HTTP/1.1" 200 None
2025-10-31 09:18:34 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:35 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31905 HTTP/1.1" 200 None
2025-10-31 09:18:36 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:37 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31906 HTTP/1.1" 200 None
2025-10-31 09:18:37 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:38 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31907 HTTP/1.1" 200 None
2025-10-31 09:18:38 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-10-31 09:18:39 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/31908 HTTP/1.1" 200 None
2025-10-31 09:18:39 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
