2025-11-10 08:27:18 - SyncDeskManager - INFO - ==================================================
2025-11-10 08:27:18 - SyncDeskManager - INFO - 🚀 INICIANDO SYNC DESK MANAGER
2025-11-10 08:27:18 - SyncDeskManager - INFO - ==================================================
2025-11-10 08:27:18 - SyncDeskManager - INFO - Sistema operativo: Windows 11
2025-11-10 08:27:18 - SyncDeskManager - INFO - Python: 3.12.4
2025-11-10 08:27:18 - SyncDeskManager - INFO - Usuario: usuario
2025-11-10 08:27:18 - SyncDeskManager - INFO - Directorio de trabajo: C:\xampp\htdocs\TDI_Task_Manager\release-package
2025-11-10 08:27:18 - SyncDeskManager - INFO - Directorio de logs: C:\xampp\htdocs\TDI_Task_Manager\release-package\logs
2025-11-10 08:27:18 - SyncDeskManager - INFO - ==================================================
2025-11-10 08:27:21 - SyncDeskManager - INFO - ConfigManager inicializado - Modo volátil en memoria
2025-11-10 08:27:21 - SyncDeskManager - INFO - Iniciando aplicación
2025-11-10 08:27:21 - SyncDeskManager - INFO - Módulos cargados correctamente
2025-11-10 08:27:21 - SyncDeskManager - INFO - ConfigManager inicializado - Modo volátil en memoria
2025-11-10 08:27:21 - SyncDeskManager - INFO - FreshdeskService inicializado
2025-11-10 08:27:21 - SyncDeskManager - INFO - Configuración de clasificación guardada en: data/classification/classification_config.json
2025-11-10 08:27:21 - SyncDeskManager - INFO - Configuración de clasificación creada con valores por defecto
2025-11-10 08:27:21 - SyncDeskManager - INFO - ClassificationConfigManager inicializado
2025-11-10 08:27:21 - SyncDeskManager - INFO - ClassificationLibraryGenerator inicializado
2025-11-10 08:30:21 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:21 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/34145 HTTP/1.1" 200 None
2025-11-10 08:30:21 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:22 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/34101 HTTP/1.1" 200 None
2025-11-10 08:30:22 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:23 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/34101/notes HTTP/1.1" 201 None
2025-11-10 08:30:23 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:24 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/34090 HTTP/1.1" 200 None
2025-11-10 08:30:24 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:25 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/34090/notes HTTP/1.1" 201 None
2025-11-10 08:30:25 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:26 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/34069 HTTP/1.1" 200 None
2025-11-10 08:30:26 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:27 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/34069/notes HTTP/1.1" 201 None
2025-11-10 08:30:27 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:28 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/34023 HTTP/1.1" 200 None
2025-11-10 08:30:28 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:29 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/34023/notes HTTP/1.1" 201 None
2025-11-10 08:30:29 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:29 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/34008 HTTP/1.1" 200 None
2025-11-10 08:30:29 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:30 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33988 HTTP/1.1" 200 None
2025-11-10 08:30:30 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:31 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33972 HTTP/1.1" 200 None
2025-11-10 08:30:31 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:32 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33911 HTTP/1.1" 200 None
2025-11-10 08:30:32 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:32 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33857 HTTP/1.1" 200 None
2025-11-10 08:30:32 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:33 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33850 HTTP/1.1" 200 None
